206,,195.12,22.691,193,202;203;
207,,190.72,40.907,211,203;204;207;
208,,207.28,57.467,210,204;205;
209,,182.66,90.587,216,205;209;210;
210,,158.97,40.979,215,206;
211,,178.7,39.193,218,207;
212,,203.18,100.74,226,208;209;
213,,42.49,112.03,232,212;213;
214,,107.2,103.6,215,213;214;
215,,150.62,81.817,199,216;217;218;
216,,142.34,104.93,202,218;219;241;
217,,132.49,183.55,248,220;244;
218,,23.563,111.34,188,222;226;
219,,47.488,93.355,203,223;224;
220,,10.368,173.94,186,224;
221,,47.584,189.02,163,225;227;
222,,64.608,184.09,206,227;228;232;
223,,88.128,203.38,216,228;251;
224,,27.648,195.42,219,229;230;
225,,30.912,185.82,222,230;231;
226,,101.36,151.49,251,232;
227,,74.069,15.019,216,233;
228,,81.749,36.693,216,233;
229,,30.819,55.38,193,234;242;272;
230,,68.437,48.128,217,234;
231,,77.231,11.259,149,235;
232,,169.17,19.336,174,237;247;
233,,27.065,145.9,156,236;249;
234,,79.404,98.224,248,240;
235,,69.232,48.965,237,240;
236,,23.36,20.041,184,243;
237,,133.53,206.49,250,244;
238,,53.694,11.315,198,245;
239,,162.93,2.8679,197,246;
240,,34.594,187.13,118,248;
241,,55.867,218.75,249,251;
242,,11.83,86.574,97,
243,,35.026,27.711,132,254;
244,,45.588,217.82,94,255;256;
245,,153.54,124.42,130,258;259;260;
246,,138.51,158.44,61,261;262;263;
247,,2.0064,97.061,55,264;
248,,155.87,176.58,46,265;266;
249,,207.34,159.95,34,267;268;269;
250,,203.49,199.88,70,270;
251,,35.731,74.151,249,271;
252,,39.368,64.918,247,271;
253,,3.5709,51.547,213,272;
254,,127.49,41.135,12,277;
255,,76.262,188.16,12,276;
256,,16.703,211.57,12,276;
257,,215.85,122.88,10,277;
258,,148.7,38.021,11,278;
259,,194.25,4.1098,6,278;
260,,17.001,205.19,38,
261,,21.859,208.45,60,
262,,31.706,211.36,66,
263,,35.367,176.13,130,
264,,69.738,10.36,217,
265,,30.633,4.2054,222,
266,,170.91,30.528,221,
267,,176.81,40.964,233,
268,,133.04,69.412,175,
269,,145.16,51.737,180,
270,,34.82,12.432,179,
271,,219.56,165.02,190,
272,,34.946,1.5753,242,
273,,195.32,205.93,251,
274,,166.71,24.805,245,
275,,22.532,112.6,217,279;280;
276,,219.22,35.241,235,
277,,216.03,167.45,32,281;
